date,year,team,side,position,jersey,player
2014-09-07,2014,Chicago Bears,Offense,WR,17,A.Jeffery
2014-09-07,2014,Chicago Bears,Offense,QB,6,J.Cutler
2014-09-07,2014,Chicago Bears,Offense,RB,22,M.Forte
2014-09-07,2014,Chicago Bears,Offense,TE,83,M.Bennett
2014-09-07,2014,Chicago Bears,Defense,LE,99,L.Houston
2014-09-07,2014,Chicago Bears,Defense,DT,90,J.Ratliff
2014-09-07,2014,Chicago Bears,Defense,NT,92,S.Paea
2014-09-07,2014,Chicago Bears,Defense,RE,69,J.Allen
2014-09-07,2014,Chicago Bears,Defense,WLB,55,L.Briggs
2014-09-07,2014,Chicago Bears,Defense,MLB,58,D.Williams
2014-09-07,2014,Chicago Bears,Defense,SLB,50,S.McClellin
2014-09-07,2014,Chicago Bears,Defense,LCB,26,T.Jennings
2014-09-07,2014,Chicago Bears,Defense,RCB,33,C.Tillman
2014-09-07,2014,Chicago Bears,Defense,SS,21,R.Mundy
2014-09-07,2014,Chicago Bears,Defense,FS,47,C.Conte

2013-09-08,2013,Chicago Bears,Offense,WR,15,B.Marshall
2013-09-08,2013,Chicago Bears,Offense,LT,74,J.Bushrod
2013-09-08,2013,Chicago Bears,Offense,LG,68,M.Slauson
2013-09-08,2013,Chicago Bears,Offense,C,63,R.Garza
2013-09-08,2013,Chicago Bears,Offense,RG,75,K.Long
2013-09-08,2013,Chicago Bears,Offense,RT,67,J.Mills
2013-09-08,2013,Chicago Bears,Offense,TE,83,M.Bennett
2013-09-08,2013,Chicago Bears,Offense,TE,87,S.Maneri
2013-09-08,2013,Chicago Bears,Offense,QB,6,J.Cutler
2013-09-08,2013,Chicago Bears,Offense,RB,22,M.Forte
2013-09-08,2013,Chicago Bears,Offense,FB,43,T.Fiammetta
2013-09-08,2013,Chicago Bears,Defense,LE,98,C.Wootton
2013-09-08,2013,Chicago Bears,Defense,DT,69,H.Melton
2013-09-08,2013,Chicago Bears,Defense,NT,92,S.Paea
2013-09-08,2013,Chicago Bears,Defense,RE,90,J.Peppers
2013-09-08,2013,Chicago Bears,Defense,WLB,55,L.Briggs
2013-09-08,2013,Chicago Bears,Defense,MLB,58,D.Williams
2013-09-08,2013,Chicago Bears,Defense,SLB,50,Ja.Anderson
2013-09-08,2013,Chicago Bears,Defense,LCB,26,T.Jennings
2013-09-08,2013,Chicago Bears,Defense,RCB,33,C.Tillman
2013-09-08,2013,Chicago Bears,Defense,SS,21,M.Wright
2013-09-08,2013,Chicago Bears,Defense,FS,47,C.Conte

2012-09-09,2012,Chicago Bears,Offense,WR,15,B.Marshall
2012-09-09,2012,Chicago Bears,Offense,LT,73,J.Webb
2012-09-09,2012,Chicago Bears,Offense,LG,67,C.Spencer
2012-09-09,2012,Chicago Bears,Offense,C,63,R.Garza
2012-09-09,2012,Chicago Bears,Offense,RG,60,L.Louis
2012-09-09,2012,Chicago Bears,Offense,RT,72,G.Carimi
2012-09-09,2012,Chicago Bears,Offense,TE,87,K.Davis
2012-09-09,2012,Chicago Bears,Offense,WR,23,D.Hester
2012-09-09,2012,Chicago Bears,Offense,QB,6,J.Cutler
2012-09-09,2012,Chicago Bears,Offense,RB,22,M.Forte
2012-09-09,2012,Chicago Bears,Offense,FB,48,E.Rodriguez
2012-09-09,2012,Chicago Bears,Defense,LE,71,I.Idonije
2012-09-09,2012,Chicago Bears,Defense,DT,69,H.Melton
2012-09-09,2012,Chicago Bears,Defense,NT,75,M.Toeaina
2012-09-09,2012,Chicago Bears,Defense,RE,90,J.Peppers
2012-09-09,2012,Chicago Bears,Defense,WLB,55,L.Briggs
2012-09-09,2012,Chicago Bears,Defense,MLB,54,B.Urlacher
2012-09-09,2012,Chicago Bears,Defense,SLB,53,N.Roach
2012-09-09,2012,Chicago Bears,Defense,LCB,26,T.Jennings
2012-09-09,2012,Chicago Bears,Defense,RCB,33,C.Tillman
2012-09-09,2012,Chicago Bears,Defense,SS,21,M.Wright
2012-09-09,2012,Chicago Bears,Defense,FS,47,C.Conte

2011-09-11,2011,Chicago Bears,Offense,WR,11,R.Williams
2011-09-11,2011,Chicago Bears,Offense,LT,73,J.Webb
2011-09-11,2011,Chicago Bears,Offense,LG,74,C.Williams
2011-09-11,2011,Chicago Bears,Offense,C,63,R.Garza
2011-09-11,2011,Chicago Bears,Offense,RG,60,L.Louis
2011-09-11,2011,Chicago Bears,Offense,RT,72,G.Carimi
2011-09-11,2011,Chicago Bears,Offense,TE,87,K.Davis
2011-09-11,2011,Chicago Bears,Offense,WR,80,E.Bennett
2011-09-11,2011,Chicago Bears,Offense,QB,6,J.Cutler
2011-09-11,2011,Chicago Bears,Offense,RB,22,M.Forte
2011-09-11,2011,Chicago Bears,Offense,TE,89,M.Spaeth
2011-09-11,2011,Chicago Bears,Defense,LE,71,I.Idonije
2011-09-11,2011,Chicago Bears,Defense,DT,69,H.Melton
2011-09-11,2011,Chicago Bears,Defense,NT,75,M.Toeaina
2011-09-11,2011,Chicago Bears,Defense,RE,90,J.Peppers
2011-09-11,2011,Chicago Bears,Defense,WLB,55,L.Briggs
2011-09-11,2011,Chicago Bears,Defense,MLB,54,B.Urlacher
2011-09-11,2011,Chicago Bears,Defense,SLB,53,N.Roach
2011-09-11,2011,Chicago Bears,Defense,LCB,26,T.Jennings
2011-09-11,2011,Chicago Bears,Defense,RCB,33,C.Tillman
2011-09-11,2011,Chicago Bears,Defense,SS,46,C.Harris
2011-09-11,2011,Chicago Bears,Defense,FS,27,M.Wright

2010-09-12,2010,Chicago Bears,Offense,WR,13,J.Knox
2010-09-12,2010,Chicago Bears,Offense,LT,74,C.Williams
2010-09-12,2010,Chicago Bears,Offense,LG,63,R.Garza
2010-09-12,2010,Chicago Bears,Offense,C,57,O.Kreutz
2010-09-12,2010,Chicago Bears,Offense,RG,60,L.Louis
2010-09-12,2010,Chicago Bears,Offense,RT,68,F.Omiyale
2010-09-12,2010,Chicago Bears,Offense,TE,82,G.Olsen
2010-09-12,2010,Chicago Bears,Offense,WR,23,D.Hester
2010-09-12,2010,Chicago Bears,Offense,QB,6,J.Cutler
2010-09-12,2010,Chicago Bears,Offense,RB,22,M.Forte
2010-09-12,2010,Chicago Bears,Offense,WR,19,D.Aromashodu
2010-09-12,2010,Chicago Bears,Defense,LE,97,M.Anderson
2010-09-12,2010,Chicago Bears,Defense,DT,91,T.Harris
2010-09-12,2010,Chicago Bears,Defense,NT,95,A.Adams
2010-09-12,2010,Chicago Bears,Defense,RE,90,J.Peppers
2010-09-12,2010,Chicago Bears,Defense,WLB,55,L.Briggs
2010-09-12,2010,Chicago Bears,Defense,MLB,54,B.Urlacher
2010-09-12,2010,Chicago Bears,Defense,SLB,59,P.Tinoisamoa
2010-09-12,2010,Chicago Bears,Defense,LCB,35,Z.Bowman
2010-09-12,2010,Chicago Bears,Defense,RCB,33,C.Tillman
2010-09-12,2010,Chicago Bears,Defense,SS,38,D.Manning
2010-09-12,2010,Chicago Bears,Defense,FS,46,C.Harris
